pm25,region,longitude,latitude
9.771185226,east,-87.74826,30.592781
9.993817253,east,-85.842858,33.26581
10.6886181,east,-87.72596,34.73148
11.33742369,east,-85.798919,34.459133
12.11976447,east,-86.032125,34.018597
10.82780487,east,-85.350387,31.189731
11.58392801,east,-86.82805,33.527872
11.26199587,east,-86.588226,34.73079
9.4144227,east,-88.139667,30.722256
11.39149371,east,-86.91892,34.507018
12.38479495,east,-85.1011,32.376002
10.64950031,east,-86.698665,33.26912
11.33382136,east,-86.178278,33.368498
12.30243612,east,-87.511691,33.2356
11.02450828,east,-87.285406,33.819888
6.058860191,west,-149.762097,61.1919
11.10146674,west,-147.568384,64.81859
7.308112573,west,-134.511579,58.351422
7.147626263,west,-149.481089,61.762742
6.929844045,west,-109.904319,31.750272
6.132350718,west,-111.511062,35.77144
8.228339173,west,-112.087906,33.494514
5.328475002,west,-111.088624,32.17841
10.50286196,west,-111.498113,32.965668
11.32649921,west,-110.905734,31.4819
5.165413239,west,-112.414707,34.650332
10.83551505,east,-91.429413,34.359997
10.43623483,east,-91.785346,33.18542
11.11474332,east,-90.2728,35.197701
10.82315691,east,-92.379944,35.119477
10.74552281,east,-93.075894,34.545307
10.45035064,east,-91.227582,35.613258
10.72395889,east,-90.761973,34.468372
10.44173669,east,-94.253631,34.48549
11.09764516,east,-93.084446,35.330478
11.84008585,east,-92.294471,34.766541
11.10500303,east,-94.351769,35.293916
10.88702381,east,-92.612793,33.207179
10.69652447,east,-94.198684,36.051379
10.64145299,east,-91.730562,35.250106
9.465901886,west,-122.096151,37.716662
9.842297178,west,-121.64631,39.648354
6.768742788,west,-120.557245,38.167573
6.94475891,west,-122.152389,39.187495
8.545172912,west,-122.060886,37.942423
16.19452394,west,-119.90347,36.638374
7.19696624,west,-123.988265,40.747403
9.41794678,west,-115.487593,32.963098
6.431330652,west,-117.693329,36.709037
15.80377972,west,-118.683344,35.296023
18.4407314,west,-119.811272,36.155141
3.494350966,west,-122.751791,39.023264
16.66180113,west,-118.234216,34.08851
8.151318057,west,-123.430217,39.363102
15.01573267,west,-120.674118,37.245783
6.455654562,west,-121.528953,36.450732
5.280998697,west,-120.814268,39.270775
14.50627234,west,-117.861663,33.731518
7.969183211,west,-120.947618,38.971576
9.678393121,west,-120.851195,40.020149
17.42904866,west,-116.803605,33.783307
9.679342068,west,-121.389266,38.561106
5.995774217,west,-121.288843,36.745753
9.843627119,west,-117.062993,32.904616
10.74108692,west,-122.437392,37.759881
11.56002188,west,-121.281307,37.945959
7.308466369,west,-120.58746,35.373909
8.999635963,west,-122.331932,37.531037
8.415964203,west,-120.071425,34.649384
9.841446473,west,-121.912818,37.306509
6.196791738,west,-121.973761,37.002349
5.560546398,west,-122.121202,40.688705
5.702414046,west,-122.502816,41.614943
10.09945985,west,-122.051826,38.235934
6.925403186,west,-122.768624,38.440089
16.25190383,west,-120.9588,37.613805
7.309656891,west,-121.658159,39.076193
16.18358308,west,-119.166093,36.234647
9.617136147,west,-119.045326,34.277048
7.705003249,west,-121.775709,38.634155
8.469518934,west,-104.869954,39.866716
6.654663682,west,-104.841455,39.641904
6.771764689,west,-105.195154,40.058094
7.733876986,west,-104.965486,39.726287
5.732004616,west,-104.888716,39.461171
4.186090212,west,-104.292156,39.293642
5.971899542,west,-104.748828,38.865444
6.614878298,west,-105.213007,40.534099
9.328776024,west,-108.509096,39.095228
6.275939908,west,-108.575842,37.353687
7.680744881,west,-104.728213,40.346681
9.821778294,east,-73.35482,41.212896
8.894818835,east,-72.715449,41.769967
7.029870736,east,-73.212688,41.754255
10.00160919,east,-72.94032,41.390764
8.821874853,east,-72.092949,41.446109
10.41295427,east,-75.560273,39.092714
11.55175552,east,-75.611707,39.695612
10.83771801,east,-75.342268,38.651424
11.02382256,east,-77.013222,38.913611
7.503460952,east,-82.379953,29.676436
6.877200817,east,-80.685189,28.220079
6.977536221,east,-80.206098,26.134788
7.375229016,east,-82.469163,28.894637
8.378377639,east,-81.638873,30.320873
8.96184161,east,-87.277355,30.502045
8.341545254,east,-82.412079,27.966349
6.744966395,east,-81.846262,26.602541
9.79596697,east,-84.260888,30.462933
5,east,-80.302264,25.756427
7.285535067,east,-81.404159,28.547129
6.348540263,east,-80.176395,26.637745
7.738196365,east,-82.727766,27.889647
7.679519038,east,-81.758303,27.992436
7.584909109,east,-80.360875,27.348246
6.800815101,east,-82.398881,27.16493
7.500354813,east,-81.310831,28.709909
7.213773455,east,-81.138947,29.049037
11.95920849,east,-83.665205,32.829689
10.82447005,east,-81.107165,32.047559
11.29227851,east,-83.380111,33.954747
12.91390279,east,-84.365597,33.566178
12.01841591,east,-84.559283,33.935535
12.1454137,east,-84.25768,33.790944
11.74643922,east,-84.163206,31.572874
11.81782092,east,-84.419327,33.779605
9.793812489,east,-81.496294,31.187633
12.14527801,east,-84.058446,33.967056
11.18833449,east,-83.842959,34.296799
11.42232527,east,-83.663234,32.558055
9.709880465,east,-83.277179,30.848527
12.20066019,east,-84.942179,32.490061
10.94905928,east,-84.831116,33.902776
12.39287465,east,-82.028396,33.429488
10.67270693,east,-85.291825,34.818692
11.35846359,east,-82.782607,32.949364
12.12138071,east,-83.226599,32.83589
6.824418754,west,-155.393159,19.683885
5.78351928,west,-158.035861,21.426126
5.693944865,west,-156.615839,20.901025
10.32940451,west,-116.280069,43.5603
4.917140438,west,-112.346267,42.777785
10.79244824,west,-116.637643,47.240039
8.846640653,west,-116.673633,43.61814
10.37632699,west,-111.855585,42.153211
12.43789802,west,-113.778243,44.948818
13.34691029,west,-116.040486,47.417879
9.353739767,east,-91.268051,39.965452
11.05900512,east,-88.216752,40.136824
11.87800768,east,-87.767817,41.837649
10.90130885,east,-88.063587,41.856029
11.26983785,east,-88.536242,38.096779
10.336829,east,-90.342138,39.083608
10.5814568,east,-88.338441,41.918229
9.256495063,east,-87.983801,42.313322
10.27521879,east,-88.904285,41.332155
10.00386206,east,-88.353772,42.296401
10.46958751,east,-88.883582,40.495251
11.63192644,east,-88.953227,39.853136
12.70212283,east,-90.018837,38.812515
11.11607,east,-89.665063,40.752492
10.10473428,east,-89.796877,38.079211
9.655263158,east,-90.507532,41.491433
12.33106048,east,-90.002067,38.532682
11.03906484,east,-89.646499,39.763854
10.50517927,east,-88.02984,41.527431
10.03472508,east,-89.08163,42.311119
13.09311875,east,-85.100068,41.090284
13.14465921,east,-85.727465,38.386482
11.85530166,east,-85.396077,40.211893
13.02392256,east,-86.900551,38.350091
12.04617561,east,-85.899404,41.626089
12.36714058,east,-85.863288,38.316931
11.63002853,east,-87.558364,38.3177
11.44325219,east,-85.405985,39.923532
11.69245241,east,-86.126407,40.475438
11.81178128,east,-87.418937,38.697416
12.75328695,east,-87.395253,41.529603
10.64694595,east,-86.779261,41.599217
12.08951112,east,-85.719201,40.14594
13.88321687,east,-86.14181,39.792792
12.19735418,east,-87.086655,41.52351
13.43525433,east,-86.241933,41.664783
12.22404004,east,-87.013205,38.024372
12.19505472,east,-86.88088,40.409485
12.82887754,east,-87.556964,37.989892
12.26091571,east,-87.391268,39.456887
10.47369628,east,-92.344731,42.487586
11.69904527,east,-90.427404,41.871169
10.91726298,east,-91.568871,41.674915
11.12366392,east,-91.416607,40.576831
10.40735537,east,-91.630559,42.029994
9.288892241,east,-95.159253,41.013101
12.67921075,east,-91.084801,41.472456
8.828504043,east,-94.688715,43.090301
9.402015108,east,-93.630942,41.627938
10.83134555,east,-95.680399,41.308529
11.96076043,east,-90.578862,41.572127
9.281104999,east,-91.948808,40.740217
8.938961885,east,-94.753767,38.932175
9.337790246,east,-94.805322,38.223827
9.057115307,east,-97.36347,37.681327
9.322161528,east,-95.710259,39.03915
8.681833318,east,-97.432563,37.26461
9.741181965,east,-94.69276,39.103711
11.28182636,east,-83.702245,36.691388
11.40553687,east,-82.664583,38.425361
12.66532478,east,-85.672052,38.005184
11.80118759,east,-84.433303,39.036524
9.685132348,east,-83.049318,38.307846
11.32246537,east,-87.481989,36.854445
12.05175277,east,-87.105097,37.750648
12.39579365,east,-84.494642,38.029632
11.10371382,east,-84.868393,38.203653
11.7650293,east,-85.914926,37.738924
11.85919508,east,-87.568076,37.802623
13.05881355,east,-85.704021,38.209237
11.9036446,east,-84.539347,39.026743
11.67003023,east,-88.651111,37.059705
10.34343302,east,-84.27224,37.699681
11.55466219,east,-86.879363,37.456506
10.09014974,east,-82.411115,37.447794
11.51146269,east,-86.42455,36.986914
10.85117421,east,-93.813906,32.527562
8.874309735,east,-93.291757,30.237442
9.970396796,east,-91.119654,30.480122
9.761818361,east,-91.287188,30.275168
9.079453293,east,-90.1514,29.935238
9.799970382,east,-92.038879,30.207388
9.703961472,east,-92.115857,32.509377
8.898717763,east,-92.476589,31.262083
12.17835377,east,-89.89026,29.922088
9.134486406,east,-90.462949,30.607405
8.52827622,east,-90.735917,29.541174
11.80267759,east,-91.263053,30.452085
7.794286109,east,-70.217663,44.135072
6.162443231,east,-68.261663,46.637362
8.182713143,east,-70.327978,43.784479
4.504539344,east,-68.415711,44.512741
7.334425661,east,-69.784554,44.399958
8.259663743,east,-70.705175,44.324518
7.384146698,east,-68.722469,45.17193
5.186250138,east,-69.33369,45.565184
11.439402,east,-76.576891,39.05786
11.02319241,east,-76.612627,39.372206
11.6654864,east,-75.951459,39.592628
9.529465227,east,-76.290245,39.534674
10.66950806,east,-77.124386,39.072608
10.92662487,east,-76.882176,38.906334
10.91974308,east,-77.774436,39.614696
11.37097505,east,-76.617016,39.307956
9.194519141,east,-73.209889,42.396128
8.282754469,east,-71.102131,41.778329
7.94932478,east,-70.970827,42.635475
9.244575815,east,-72.571312,42.12756
8.031136658,east,-71.275566,42.459085
8.550007225,east,-70.818958,41.978877
9.78867233,east,-71.073493,42.334948
8.83497904,east,-71.840209,42.329642
8.935905257,east,-85.903867,42.592727
8.404685362,east,-83.917406,43.636656
9.208337684,east,-86.426818,41.971239
14.62350044,east,-84.497987,46.322274
9.140997525,east,-83.700504,43.011877
9.253623807,east,-84.469828,42.667752
10.07191614,east,-85.561317,42.259641
10.22991573,east,-85.612696,42.98864
9.535325011,east,-84.065929,41.917635
9.669257987,east,-82.951762,42.591138
6.745090669,east,-86.135402,44.323788
6.153301135,east,-85.145565,44.32747
10.37051575,east,-83.484125,41.919053
